symbol,name,sector,subindustry,address,exchange,website
A,Agilent Technologies Inc,Health Care,Health Care Equipment,"Santa Clara, California",New York Stock Exchange,http://www.agilent.com
AAP,Advance Auto Parts,Consumer Discretionary,Automotive Retail,"Roanoke, Virginia",New York Stock Exchange,https://shop.advanceautoparts.com
AAPL,Apple Inc.,Information Technology,Computer Hardware,"Cupertino, California",Nasdaq Global Select,http://www.apple.com
ABC,AmerisourceBergen Corp,Health Care,Health Care Distributors,"Chesterbrook, Pennsylvania",New York Stock Exchange,http://www.amerisourcebergen.com
ABT,Abbott Laboratories,Health Care,Health Care Equipment,"North Chicago, Illinois",New York Stock Exchange,http://www.abbottinvestor.com
ACN,Accenture plc,Information Technology,IT Consulting & Other Services,"Dublin, Ireland",New York Stock Exchange,http://www.accenture.com
ADBE,Adobe Systems Inc,Information Technology,Application Software,"San Jose, California",Nasdaq Global Select,http://www.adobe.com
ADI,"Analog Devices, Inc.",Information Technology,Semiconductors,"Norwood, Massachusetts",Nasdaq Global Select,http://www.analog.com
ADM,Archer-Daniels-Midland Co,Consumer Staples,Agricultural Products,"Decatur, Illinois",New York Stock Exchange,http://www.adm.com
ADP,Automatic Data Processing,Information Technology,Internet Software & Services,"Roseland, New Jersey",Nasdaq Global Select,http://www.adp.com
ADS,Alliance Data Systems,Information Technology,Data Processing & Outsourced Services,"Plano, Texas",New York Stock Exchange,http://www.alliancedata.com
ADSK,Autodesk Inc,Information Technology,Application Software,"San Rafael, California",Nasdaq Global Select,http://www.autodesk.com
AEP,American Electric Power,Utilities,Electric Utilities,"Columbus, Ohio",New York Stock Exchange,http://www.aep.com
AES,AES Corp,Utilities,Independent Power Producers & Energy Traders,"Arlington, Virginia",New York Stock Exchange,http://www.aes.com
AFL,AFLAC Inc,Financials,Life & Health Insurance,"Columbus, Georgia",New York Stock Exchange,http://www.aflac.com
AIG,"American International Group, Inc.",Financials,Property & Casualty Insurance,"New York, New York",New York Stock Exchange,http://www.aig.com
AIZ,Assurant Inc,Financials,Multi-line Insurance,"New York, New York",New York Stock Exchange,http://www.assurant.com
AJG,Arthur J. Gallagher & Co.,Financials,Insurance Brokers,"Itasca, Illinois",New York Stock Exchange,http://www.ajg.com
AKAM,Akamai Technologies Inc,Information Technology,Internet Software & Services,"Cambridge, Massachusetts",Nasdaq Global Select,https://www.akamai.com
ALL,Allstate Corp,Financials,Property & Casualty Insurance,"Northfield Township, Illinois",New York Stock Exchange,http://www.allstate.com
ALXN,Alexion Pharmaceuticals,Health Care,Biotechnology,"Cheshire, Connecticut",Nasdaq Global Select,http://www.alexion.com
AMAT,Applied Materials Inc,Information Technology,Semiconductor Equipment,"Santa Clara, California",Nasdaq Global Select,http://www.appliedmaterials.com
AMD,Advanced Micro Devices Inc,Information Technology,Semiconductor ,"Sunnyvale, California",Nasdaq Global Select,http://www.amd.com
AME,AMETEK Inc,Industrials,Electrical Components & Equipment,"Berwyn, Pennsylvania",New York Stock Exchange,http://www.ametek.com
AMGN,Amgen Inc,Health Care,Biotechnology,"Thousand Oaks, California",Nasdaq Global Select,http://www.amgen.com
AMT,American Tower Corp A,Real Estate,Specialized REITs,"Boston, Massachusetts",New York Stock Exchange,http://www.americantower.com
AMZN,Amazon.com Inc,Consumer Discretionary,Internet & Direct Marketing Retail,"Seattle, Washington",Nasdaq Global Select,http://www.amazon.com
AON,Aon plc,Financials,Insurance Brokers,"London, United Kingdom",New York Stock Exchange,http://www.aon.com
AOS,A.O. Smith Corp,Industrials,Building Products,"Milwaukee, Wisconsin",New York Stock Exchange,http://www.aosmith.com
APA,Apache Corporation,Energy,Oil & Gas Exploration & Production,"Houston, Texas",New York Stock Exchange,http://www.apachecorp.com
APC,Anadarko Petroleum Corp,Energy,Oil & Gas Exploration & Production,"The Woodlands, Texas",New York Stock Exchange,http://www.anadarko.com
APH,Amphenol Corp,Information Technology,Electronic Components,"Wallingford, Connecticut",New York Stock Exchange,http://www.amphenol.com
ATVI,Activision Blizzard,Information Technology,Home Entertainment Software,"Santa Monica, California",Nasdaq Global Select,http://www.activisionblizzard.com
AVGO,Broadcom,Information Technology,Semiconductors,"San Jose, California",Nasdaq Global Select,https://www.broadcom.com
